district,count
Jaçanã,4
Vila Cachoeira,4
Conjunto Residencial Jardim Canaã,4
Jardim Pedro José Nunes,4
Artur Alvim,4
Cidade Antônio Estêvão de Carvalho,4
Jardim Alzira,4
Anchieta,4
Vila São José (ipiranga),4
Jardim Santa Mena,4
Vila Inah,4
Parque São Domingos,4
Vila Boa Vista,4
Jardim Avelino,4
Melville Empresarial Ii,4
Jardim Paraventi,3
Melville Empresarial I E Ii,3
Centro Empresarial Tamboré,3
Parque Sao Domingos,3
Jardim Petropolis,3
Parque Continental I,3
Vila Olinda,3
Vila Bonilha,3
Jardim Santa Maria,3
Vila Scarpelli,3
Vila Nova Curuçá,3
Jardim Nordeste,3
Jardim Norma,3
Parque Guarani,3
Vila Iório,3
Vila Nova Carolina,3
Vila Regina,3
Vila Ernesto,3
Vila Cavaton,3
Vila Sao Geraldo,3
Jardim Castelo,3
Vila Jaguara,3
Jardim Gracinda,3
Jardim Previdencia,3
Vila Humaitá,3
Vila Cosmopolita,3
Vila Jacuí,3
Vila Floresta,3
Jardim Promissão,3
Vila Pirajussara,3
Jd. Rio Pequeno,3
Jardim Lar Sao Paulo,3
Vila Salete,3
Jardim Lallo,3
Jardim Regis,3
Jardim Sabará,3
Vila Friburgo,3
Vila Valparaiso,3
Jardim Cidalia,3
Jardim Morumbi,3
Jardim Santo Elias,3
Jardim Ibitirama,3
Jardim Penha,3
São Domingos,3
Jardim Bom Clima,3
Vila Romero,3
Jardim Kuabara,3
Parque Ramos Freitas,3
Vila Pedra Branca,3
Vila Bancária,3
Vila Polopoli,3
Parque Continental,3
Cidade Domitila,3
Vila Morumbi,3
Cidade Continental,3
Jardim Popular,3
Vila Mesquita,3
Bonfim,3
Jardim Dona Sinhá,3
Vila Basileia,3
Vila Nova das Belezas,3
Vila Carolina,3
Jardim Cachoeira,3
Jardim dos Estados,3
Jardim das Maravilhas,3
Vila Beatriz,3
Vila Príncipe de Gales,3
Vila Caraguatá,3
Jardim Mirante,3
Jardim Almeida Prado,3
Vila Pauliceia,3
Vila Yolanda,3
Pestana,3
Vila Isa,3
Brooklin Novo,3
Vila Santa Virginia,3
Jardim Tranqüilidade,3
Vila da Paz,3
Vila Deodoro,3
Jardim Iracema,3
Vila Milton,3
Jardim Alvorada (zona Oeste),3
Jardim Aricanduva,3
Vila Domitila,3
Vila das Belezas,3
Jardim do Papai,3
Vila Cristália,3
Guaiaúna,3
Vila Tramontano,3
Conjunto Habitacional Teotonio Vilela,3
Parque São Luís,3
Vila Elze,3
Jardim Trussardi,3
Vila Dinorah,3
Jardim Guanca,3
Jardim Mariliza,3
Jardim Clímax,3
Vila Curuca,3
Vila Paulistania,3
Caxingui,3
Vila Renata,3
Ponte Pequena,3
Parque Residencial da Lapa,3
Vila Centenário,3
Parque Oratório,3
Jardim Brasil,3
Jardim Almanara,3
Vila São Silvestre,3
Vila Diva (zona Norte),3
Vila Santista,3
Jardim Santa Monica,3
Parque Santos Dumont,3
Jardim Adriana,3
Jardim Mangalot,3
Jardim Ubirajara,3
Jardim Santa Helena,3
Jardim Guarapiranga,3
Jardim Pereira Leite,2
Vila Metalurgica,2
Jardim Regina,2
Jardim Pirituba,2
Vila Lucia,2
Jardim Itapeva,2
Jardim Graziela,2
Alphaville Residencial Um,2
Vila Hulda,2
Jardim Centenario,2
Jardim Jabaquara,2
Vila Independência,2
Jardim Santa Cecília,2
Vila Fátima,2
Jardim Maria Luiza,2
Vila Santa Terezinha (zona Norte),2
Vila Pita,2
Conjunto Residencial Vista Verde,2
Jardim Botucatu,2
Vila Marte,2
Jardim Antartica,2
Vila Germinal,2
Jardim Dourado,2
Jardim Dom Bosco,2
Jardim Testae,2
Jardim Ataliba Leonel,2
Vila Camilopolis,2
Vila Progresso,2
Jardim Líbano,2
Vila Continental,2
Jardim Aurelia,2
Vila Cardoso Franco,2
Vila Oratorio,2
Jardim Sao Francisco (zona Leste),2
Vila Alto de Santo André,2
Parque João Ramalho,2
Vila Arcadia,2
Vila Brasilândia,2
Capela do Socorro,2
Vila Castelo,2
Vila Nova Manchester,2
Vila Margarida,2
Lajeado,2
Vila Sao Francisco (zona Sul),2
Ayrosa,2
Bandeiras,2
Vila Antônio,2
Jardim Ivana,2
Rolinópolis,2
Vila Ramos,2
Parada Xv de Novembro,2
Vila Clarice,2
Vila Trabalhista,2
Vila Mariza Mazzei,2
Vila Brasil,2
Vila Serralheiro,2
Jardim São Francisco (zona Leste),2
Jardim Caner,2
Parque Panamericano,2
Vila São João Batista,2
Casa Branca,2
Parque Tomas Saraiva,2
Jardim Sao Paulo(zona Norte),2
Jardim Felicidade (zona Oeste),2
Vila Fiat Lux,2
Vila Picinin,2
Jardim Santa Rosa,2
Jardim Cocaia,2
Vila América,2
Nossa Senhora do O,2
Jardim Lucia,2
Vila Arruda,2
Jaguará,2
Nova Gerti,2
Jardim de Lorenzo,2
Recanto das Rosas,2
Conceicao,2
São José,2
Gopouva,2
Guapira,2
City América,2
Jardim Rizzo,2
Jardim Pazini,2
Parque Esmeralda,2
Jardim América,2
Vila Tiradentes,2
Jardim Arpoador,2
Jardim Rosa Maria,2
Morumbi ,2
Jardim Silvia,2
Parque Santa Madalena,2
Vila Anadir,2
Vila Carmem,2
Vila Rio de Janeiro,2
Jardim Adutora,2
Vila Rui Barbosa,2
Vila Francisco Matarazzo,2
Jardim Catanduva,2
Vila Helena,2
Jardim Angela (zona Leste),2
Vila Alice,2
Jardim Guarau,2
Morro dos Ingleses,2
Pirituba,2
Jardim America,2
Vila Assunção,2
Burgo Paulista,2
Jardim Campanario,2
Jardim Toscana,2
Jardim Centenário,2
Vila Eldízia,2
Jardim Sarah,2
Jardim Sao Judas Tadeu,2
Parque da Lapa,2
Vila Sao Luis(zona Oeste),2
Parque Residencial Julia,2
Sítio Pinheirinho,2
Cidade dos Bandeirantes,2
Campininha,2
Cocaia,2
Bela Aliança,2
Jardim Taboao,2
Jardim Jamaica,2
Jardim dos Lagos,2
Jardim Jua,2
Veleiros,2
Vila Anhanguera,2
Lar São Paulo,2
Vila do Bosque,2
Vila Gea,2
Vila Pedro Moreira,2
Vila Dionisia,2
Jardim Sul São Paulo,2
Jardim Vergueiro (sacoma),2
Cidade Nova São Miguel,2
Ermelino Matarazzo,2
Jardim Brasília (zona Leste),2
Vila Princesa Isabel,2
Instituto de Previdencia,2
Jardim Sílvia,2
Jardim Sao Joao (jaragua),2
Vila Brasilio Machado,2
Jardim Santa Terezinha,2
Jardim Aida,2
Vila Bastos,2
Jardim Nova Taboao,2
Vila Natália,2
Alto do Pari,2
Vila Praia,2
Jardim Santa Inês,2
Conjunto Residencial Butantã,2
Jardim Odete,2
Jardim das Bandeiras,2
Vila Liviero,2
Parque Santo Antônio,2
Vila Londrina,2
Vila Engenho Novo,2
Vila União (zona Leste),2
Conjunto Habitacional Padre Manoel da Nóbrega,2
Jardim Helian,2
Jardim Valéria,2
Jardim das Gracas,2
Parque Boturussu,2
Cidade Maia,2
Vila Nova Esperança,2
Vila São Francisco,2
Vila São João,2
Jardim Santo Antoninho,2
Nova Gerty,2
Jardim Primavera (zona Norte),2
Vila Brasilandia,2
Jardim Teresa,2
Jardim Terezópolis,2
Jardim Ana Rosa,2
Vila Bela Vista (zona Norte),2
Jardim Carlu,2
Jardim Sônia Maria,2
Vila Guarani(zona Leste),2
Jardim Cristal,2
Parque do Morumbi,2
Centro Comercial Jubran,2
Jardim Paraiso,2
Jardim dos Camargos,2
Bethaville I,2
Vila Elvira,2
Retiro Morumbi,1
Vila Sao Luiz (valparaizo),1
Alphaville Conde Ii,1
Jardim Barueri,1
Vila Silvia,1
Jardim Colorado,1
Cidade Luz,1
Chácara São João,1
Vila Nossa Senhora de Fátima,1
Vila Rio,1
Vila São Luís,1
Vila Maracanã,1
Chácara Meyer,1
Jardim Ana Lúcia,1
Jardim Três Marias,1
Jardim Maraba,1
Vila Sacadura Cabral,1
Vila Divina Pastora,1
Jardim Lourdes (zona Sul),1
Silveira,1
Vila Franci,1
Jardim Santa Bárbara,1
